# number of matrix elements
10000
0 0 0 0 0
0 0 0 1 0
0 0 0 2 0
0 0 0 3 0
0 0 0 4 0
0 0 0 5 0
0 0 0 6 0
0 0 0 7 0
0 0 0 8 0
0 0 0 9 0
0 0 1 0 0
0 0 1 1 0
0 0 1 2 0
0 0 1 3 0
0 0 1 4 0
0 0 1 5 0
0 0 1 6 0
0 0 1 7 0
0 0 1 8 0
0 0 1 9 0
0 0 2 0 0
0 0 2 1 0
0 0 2 2 0
0 0 2 3 0
0 0 2 4 0
0 0 2 5 0
0 0 2 6 0
0 0 2 7 0
0 0 2 8 0
0 0 2 9 0
0 0 3 0 0
0 0 3 1 0
0 0 3 2 0
0 0 3 3 0
0 0 3 4 0
0 0 3 5 0
0 0 3 6 0
0 0 3 7 0
0 0 3 8 0
0 0 3 9 0
0 0 4 0 0
0 0 4 1 0
0 0 4 2 0
0 0 4 3 0
0 0 4 4 0
0 0 4 5 0
0 0 4 6 0
0 0 4 7 0
0 0 4 8 0
0 0 4 9 0
0 0 5 0 0
0 0 5 1 0
0 0 5 2 0
0 0 5 3 0
0 0 5 4 0
0 0 5 5 0
0 0 5 6 0
0 0 5 7 0
0 0 5 8 0
0 0 5 9 0
0 0 6 0 0
0 0 6 1 0
0 0 6 2 0
0 0 6 3 0
0 0 6 4 0
0 0 6 5 0
0 0 6 6 0
0 0 6 7 0
0 0 6 8 0
0 0 6 9 0
0 0 7 0 0
0 0 7 1 0
0 0 7 2 0
0 0 7 3 0
0 0 7 4 0
0 0 7 5 0
0 0 7 6 0
0 0 7 7 0
0 0 7 8 0
0 0 7 9 0
0 0 8 0 0
0 0 8 1 0
0 0 8 2 0
0 0 8 3 0
0 0 8 4 0
0 0 8 5 0
0 0 8 6 0
0 0 8 7 0
0 0 8 8 0
0 0 8 9 0
0 0 9 0 0
0 0 9 1 0
0 0 9 2 0
0 0 9 3 0
0 0 9 4 0
0 0 9 5 0
0 0 9 6 0
0 0 9 7 0
0 0 9 8 0
0 0 9 9 0
0 1 0 0 0
0 1 0 1 -4.47329855287053
0 1 0 2 0
0 1 0 3 -1.84606814150716
0 1 0 4 0
0 1 0 5 -0.649252503325417
0 1 0 6 0
0 1 0 7 -0.193391257972013
0 1 0 8 0
0 1 0 9 -0.0397217910017414
0 1 1 0 4.47329855287053
0 1 1 1 0
0 1 1 2 1.84606814150716
0 1 1 3 0
0 1 1 4 0.649252503325417
0 1 1 5 0
0 1 1 6 0.193391257972013
0 1 1 7 0
0 1 1 8 0.0397217910017414
0 1 1 9 0
0 1 2 0 0
0 1 2 1 -1.84606814150716
0 1 2 2 0
0 1 2 3 -1.1853674719601
0 1 2 4 0
0 1 2 5 -0.511665174327886
0 1 2 6 0
0 1 2 7 -0.137600320365298
0 1 2 8 0
0 1 2 9 0.0158308394040263
0 1 3 0 1.84606814150716
0 1 3 1 0
0 1 3 2 1.1853674719601
0 1 3 3 0
0 1 3 4 0.511665174327886
0 1 3 5 0
0 1 3 6 0.137600320365298
0 1 3 7 0
0 1 3 8 -0.0158308394040263
0 1 3 9 0
0 1 4 0 0
0 1 4 1 -0.649252503325417
0 1 4 2 0
0 1 4 3 -0.511665174327886
0 1 4 4 0
0 1 4 5 -0.19940180828099
0 1 4 6 0
0 1 4 7 0.030036905873439
0 1 4 8 0
0 1 4 9 0.134777506214596
0 1 5 0 0.649252503325417
0 1 5 1 0
0 1 5 2 0.511665174327886
0 1 5 3 0
0 1 5 4 0.19940180828099
0 1 5 5 0
0 1 5 6 -0.030036905873439
0 1 5 7 0
0 1 5 8 -0.134777506214596
0 1 5 9 0
0 1 6 0 0
0 1 6 1 -0.193391257972013
0 1 6 2 0
0 1 6 3 -0.137600320365298
0 1 6 4 0
0 1 6 5 0.030036905873439
0 1 6 6 0
0 1 6 7 0.176465178344504
0 1 6 8 0
0 1 6 9 0.248578203549846
0 1 7 0 0.193391257972013
0 1 7 1 0
0 1 7 2 0.137600320365298
0 1 7 3 0
0 1 7 4 -0.030036905873439
0 1 7 5 0
0 1 7 6 -0.176465178344504
0 1 7 7 0
0 1 7 8 -0.248578203549846
0 1 7 9 0
0 1 8 0 0
0 1 8 1 -0.0397217910017414
0 1 8 2 0
0 1 8 3 0.0158308394040263
0 1 8 4 0
0 1 8 5 0.134777506214596
0 1 8 6 0
0 1 8 7 0.248578203549846
0 1 8 8 0
0 1 8 9 0.313304612760456
0 1 9 0 0.0397217910017414
0 1 9 1 0
0 1 9 2 -0.0158308394040263
0 1 9 3 0
0 1 9 4 -0.134777506214596
0 1 9 5 0
0 1 9 6 -0.248578203549846
0 1 9 7 0
0 1 9 8 -0.313304612760456
0 1 9 9 0
0 2 0 0 0
0 2 0 1 0
0 2 0 2 0
0 2 0 3 0
0 2 0 4 0
0 2 0 5 0
0 2 0 6 0
0 2 0 7 0
0 2 0 8 0
0 2 0 9 0
0 2 1 0 0
0 2 1 1 0
0 2 1 2 0
0 2 1 3 0
0 2 1 4 0
0 2 1 5 0
0 2 1 6 0
0 2 1 7 0
0 2 1 8 0
0 2 1 9 0
0 2 2 0 0
0 2 2 1 0
0 2 2 2 0
0 2 2 3 0
0 2 2 4 0
0 2 2 5 0
0 2 2 6 0
0 2 2 7 0
0 2 2 8 0
0 2 2 9 0
0 2 3 0 0
0 2 3 1 0
0 2 3 2 0
0 2 3 3 0
0 2 3 4 0
0 2 3 5 0
0 2 3 6 0
0 2 3 7 0
0 2 3 8 0
0 2 3 9 0
0 2 4 0 0
0 2 4 1 0
0 2 4 2 0
0 2 4 3 0
0 2 4 4 0
0 2 4 5 0
0 2 4 6 0
0 2 4 7 0
0 2 4 8 0
0 2 4 9 0
0 2 5 0 0
0 2 5 1 0
0 2 5 2 0
0 2 5 3 0
0 2 5 4 0
0 2 5 5 0
0 2 5 6 0
0 2 5 7 0
0 2 5 8 0
0 2 5 9 0
0 2 6 0 0
0 2 6 1 0
0 2 6 2 0
0 2 6 3 0
0 2 6 4 0
0 2 6 5 0
0 2 6 6 0
0 2 6 7 0
0 2 6 8 0
0 2 6 9 0
0 2 7 0 0
0 2 7 1 0
0 2 7 2 0
0 2 7 3 0
0 2 7 4 0
0 2 7 5 0
0 2 7 6 0
0 2 7 7 0
0 2 7 8 0
0 2 7 9 0
0 2 8 0 0
0 2 8 1 0
0 2 8 2 0
0 2 8 3 0
0 2 8 4 0
0 2 8 5 0
0 2 8 6 0
0 2 8 7 0
0 2 8 8 0
0 2 8 9 0
0 2 9 0 0
0 2 9 1 0
0 2 9 2 0
0 2 9 3 0
0 2 9 4 0
0 2 9 5 0
0 2 9 6 0
0 2 9 7 0
0 2 9 8 0
0 2 9 9 0
0 3 0 0 0
0 3 0 1 -1.84606814150716
0 3 0 2 0
0 3 0 3 -1.91470842269517
0 3 0 4 0
0 3 0 5 -1.13666221573846
0 3 0 6 0
0 3 0 7 -0.522770748561509
0 3 0 8 0
0 3 0 9 -0.18940181897817
0 3 1 0 1.84606814150716
0 3 1 1 0
0 3 1 2 1.91470842269517
0 3 1 3 0
0 3 1 4 1.13666221573846
0 3 1 5 0
0 3 1 6 0.522770748561509
0 3 1 7 0
0 3 1 8 0.18940181897817
0 3 1 9 0
0 3 2 0 0
0 3 2 1 -1.91470842269517
0 3 2 2 0
0 3 2 3 -0.844539691741094
0 3 2 4 0
0 3 2 5 -0.517451388958941
0 3 2 6 0
0 3 2 7 -0.269324631088279
0 3 2 8 0
0 3 2 9 -0.0767518380842493
0 3 3 0 1.91470842269517
0 3 3 1 0
0 3 3 2 0.844539691741094
0 3 3 3 0
0 3 3 4 0.517451388958941
0 3 3 5 0
0 3 3 6 0.269324631088279
0 3 3 7 0
0 3 3 8 0.0767518380842493
0 3 3 9 0
0 3 4 0 0
0 3 4 1 -1.13666221573846
0 3 4 2 0
0 3 4 3 -0.517451388958941
0 3 4 4 0
0 3 4 5 -0.203454764366743
0 3 4 6 0
0 3 4 7 -0.0451373079250612
0 3 4 8 0
0 3 4 9 0.0638808300343308
0 3 5 0 1.13666221573846
0 3 5 1 0
0 3 5 2 0.517451388958941
0 3 5 3 0
0 3 5 4 0.203454764366743
0 3 5 5 0
0 3 5 6 0.0451373079250612
0 3 5 7 0
0 3 5 8 -0.0638808300343308
0 3 5 9 0
0 3 6 0 0
0 3 6 1 -0.522770748561509
0 3 6 2 0
0 3 6 3 -0.269324631088279
0 3 6 4 0
0 3 6 5 -0.0451373079250612
0 3 6 6 0
0 3 6 7 0.0760710508735062
0 3 6 8 0
0 3 6 9 0.148516778596387
0 3 7 0 0.522770748561509
0 3 7 1 0
0 3 7 2 0.269324631088279
0 3 7 3 0
0 3 7 4 0.0451373079250612
0 3 7 5 0
0 3 7 6 -0.0760710508735062
0 3 7 7 0
0 3 7 8 -0.148516778596387
0 3 7 9 0
0 3 8 0 0
0 3 8 1 -0.18940181897817
0 3 8 2 0
0 3 8 3 -0.0767518380842493
0 3 8 4 0
0 3 8 5 0.0638808300343308
0 3 8 6 0
0 3 8 7 0.148516778596387
0 3 8 8 0
0 3 8 9 0.194116125904719
0 3 9 0 0.18940181897817
0 3 9 1 0
0 3 9 2 0.0767518380842493
0 3 9 3 0
0 3 9 4 -0.0638808300343308
0 3 9 5 0
0 3 9 6 -0.148516778596387
0 3 9 7 0
0 3 9 8 -0.194116125904719
0 3 9 9 0
0 4 0 0 0
0 4 0 1 0
0 4 0 2 0
0 4 0 3 0
0 4 0 4 0
0 4 0 5 0
0 4 0 6 0
0 4 0 7 0
0 4 0 8 0
0 4 0 9 0
0 4 1 0 0
0 4 1 1 0
0 4 1 2 0
0 4 1 3 0
0 4 1 4 0
0 4 1 5 0
0 4 1 6 0
0 4 1 7 0
0 4 1 8 0
0 4 1 9 0
0 4 2 0 0
0 4 2 1 0
0 4 2 2 0
0 4 2 3 0
0 4 2 4 0
0 4 2 5 0
0 4 2 6 0
0 4 2 7 0
0 4 2 8 0
0 4 2 9 0
0 4 3 0 0
0 4 3 1 0
0 4 3 2 0
0 4 3 3 0
0 4 3 4 0
0 4 3 5 0
0 4 3 6 0
0 4 3 7 0
0 4 3 8 0
0 4 3 9 0
0 4 4 0 0
0 4 4 1 0
0 4 4 2 0
0 4 4 3 0
0 4 4 4 0
0 4 4 5 0
0 4 4 6 0
0 4 4 7 0
0 4 4 8 0
0 4 4 9 0
0 4 5 0 0
0 4 5 1 0
0 4 5 2 0
0 4 5 3 0
0 4 5 4 0
0 4 5 5 0
0 4 5 6 0
0 4 5 7 0
0 4 5 8 0
0 4 5 9 0
0 4 6 0 0
0 4 6 1 0
0 4 6 2 0
0 4 6 3 0
0 4 6 4 0
0 4 6 5 0
0 4 6 6 0
0 4 6 7 0
0 4 6 8 0
0 4 6 9 0
0 4 7 0 0
0 4 7 1 0
0 4 7 2 0
0 4 7 3 0
0 4 7 4 0
0 4 7 5 0
